InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
    1930000       3.377955  2.148208e-05       116.961184         7.764315       115.455748         7.404308  0.42  0.22639
    1940000       3.307268  2.147219e-05       121.746325         9.658866       116.475134         7.256565  0.43  0.22671
    1950000       3.238651  2.100208e-05       119.003912         7.359948       115.801299         7.136487  0.37  0.22109
    1960000       3.172091  2.069518e-05       113.997909         7.349994       114.156163         7.012475  0.47  0.22559
    1970000       3.107286  2.098949e-05       118.134376         5.727966       120.570268         6.869439  0.30  0.20346
    1980000       3.043822  2.088438e-05       116.306676         6.542101       113.454294         6.739652  0.48  0.22471
    1990000       2.982030  2.030750e-05       117.966045         7.992126       117.597082         6.609278  0.47  0.22559
    2000000       2.921671  2.048003e-05       117.628588         8.350990       112.683881         6.484925  0.43  0.22671
    2010000       2.862943  2.059201e-05       113.026346         7.343650       116.236744         6.369862  0.50  0.22222
    2020000       2.805680  1.998067e-05       116.503605        10.984424       112.963160         6.247845  0.42  0.22639
    2030000       2.749839  2.023712e-05       114.087270         6.433352       113.090072         6.142822  0.47  0.22559
    2040000       2.695486  2.004224e-05       109.804490         6.400174       109.552845         6.035558  0.42  0.22639
    2050000       2.642627  1.988241e-05       120.620688        10.481596       113.136395         5.930599  0.42  0.22639
    2060000       2.591330  1.984832e-05       109.292148         6.516051       110.171332         5.836658  0.41  0.22582
    2070000       2.541357  1.930893e-05       113.583158         5.054731       110.862035         5.741272  0.41  0.22582
    2080000       2.492657  1.919907e-05       112.641686         8.332276       109.514487         5.642137  0.41  0.22582
    2090000       2.445339  1.917971e-05       111.718123         6.655132       109.549109         5.556361  0.53  0.21672
    2100000       2.399604  1.901244e-05       113.734034         9.976012       109.183464         5.482334  0.43  0.22671
    2110000       2.355345  1.811963e-05       112.187642         8.653004       108.767674         5.403671  0.46  0.22624
    2120000       2.312351  1.817104e-05       108.613261         4.207902       109.460685         5.318339  0.51  0.22062
    2130000       2.270482  1.860359e-05       113.903629         7.046876       109.701396         5.224992  0.43  0.22671
    2140000       2.229439  1.808664e-05       110.001156         6.286647       109.379776         5.144504  0.46  0.22624
    2150000       2.189489  1.821077e-05       113.627541         7.170623       109.662345         5.061763  0.42  0.22639
    2160000       2.150625  1.818474e-05       111.532675         9.100557       106.574445         4.986383  0.44  0.22680
    2170000       2.112705  1.763026e-05       105.035127         3.662288       107.295441         4.908322  0.58  0.20296
    2180000       2.075574  1.771786e-05       110.353232         7.197750       106.931631         4.834897  0.44  0.22680
